TopicEng	TopicKor	TopicViet	TopicDetailEng	TopicDetailKor	TopicDetailVet	No	QuestionsEng	QuestionsKor	QuestionsViet	AnswersEng	AnswersKor	AudioQuestionsEng	AudioQuestionsKor
About Yourself	자기소개	Giới thiệu bản thân	About yourself	자기 자신에 대해	Về bản thân bạn	1	Let's start with the interview now. Tell me something about yourself	지금부터 인터뷰를 시작하겠습니다. 먼저 자기에 대해 말하십시오!	Bây giờ chúng ta sẽ bắt đầu buổi phỏng vấn. Trước tiên, hãy giới thiệu về bản thân bạn!	"- Hello, please allow me to introduce myself. My name is Dai, and my full name is Luan Van Dai, but you can call me Dai for short. I’m over 30 years old. 
- I was born and raised in Thai Nguyen, in the north of Vietnam, and now I still live here with my family of four people - my wife, my two children, and me.
- I work as a mechanical engineer in the production department of an electronics company. 
- In my free time, I enjoy listening to music, watching movies, and traveling because these activities help me relax.
- My favorite food is Korean food because it’s delicious and has a unique taste. I also love drinking tea, especially Thai Nguyen tea.
- My favorite day of the week is Sunday because it’s the day I can rest and relax. I dislike doing housework such as washing dishes and cleaning the bathroom.
- Most of my friends say that I am friendly and optimistic. The best thing about me is that I am very reliable and dedicated. The worst thing about me is that I am a procrastinator. My favorite motto is “Take action,” because it reminds me to keep moving forward.
- That’s all about me. Thank you for listening."		https://luandai123.github.io/OpicTest/AboutYourself_1.wav	https://luandai123.github.io/OpicTest/K_About Yourself_1.mp3
Movies	영화	Phim ảnh	Kinds of movies to watch and reasons.	좋아하는 영화 종류와 이유	Thể loại phim yêu thích và lý do	1	You indicated in the survey that you like to watch movies. What kinds of movies do you like to watch? Why do you like those types of movies	설문지에 영화를 관람하신다고 표시하셨습니다. 어떤 종류의 영화를 즐겨보시는지 이야기해 주십시오. 이유는 무엇입니까?	Trong bảng khảo sát, bạn đã cho biết bạn có xem phim. Hãy kể về thể loại phim bạn thích xem. Lý do là gì?	"- My favorite kinds of movie are action movies, Vietnam movies and comedies movies.
- Action movies nowadays are made very well, so they are always my first choice. I feel excited in every single action scene.
- I also like Vietnam movies. They are usually about family and relationships.They are sometimes very interesting and emotional, so I enjoy watching them with my family.
- I like comedies because they make me laugh and feel relaxed after a long day.
- Once again, I am interested in action movies, Vietnam movies and comedies."		https://luandai123.github.io/OpicTest/Movies_1.mp3	https://luandai123.github.io/OpicTest/K_Movies_1.mp3
Movies	영화	Phim ảnh	Favorite star	좋아하는 배우 또는 캐릭터	Diễn viên hoặc nhân vật yêu thích	2	Who is your favorite star or character from any movie or TV show? Why do you like him or her? Please describe him or her in detail	가장 좋아하는 배우에 대해 이야기해 주십시오. 왜 그 배우가 좋습니까? 그를 자세히 묘사해 보세요.	Hãy nói về diễn viên yêu thích của bạn. Tại sao bạn thích diễn viên đó? Hãy mô tả chi tiết về người đó.	"- My favorite actor is Tự Long. He is a very famous artist in Vietnam. I like him because he is funny and very talented.
- Tự Long often appears on TV shows and comedy programs. When I watch him, I always laugh because he has a good sense of humor. He knows how to use his voice, his face, and his body to make people laugh.
- He can play many different roles. Sometimes he is very funny, but sometimes he can be serious. His acting is easy to understand, so people of all ages can enjoy his shows.
- I also like him because he helps keep Vietnamese traditional culture alive. His performances make me feel relaxed after a long day.
- That is why Tự Long is my favorite actor."		https://luandai123.github.io/OpicTest/Movies_2.mp3	https://luandai123.github.io/OpicTest/K_Movies_2.mp3
Movies	영화	Phim ảnh	Favorite movie theater	좋아하는 영화관	Rạp chiếu phim yêu thích	3	Please tell us about your favorite movie theater. Where are you? What's special about that place	즐겨 가시는 영화관에 대해 말씀해 주십시오. 어디에 있습니까? 그 곳의 특별한 점은 무엇입니까?	Hãy kể về rạp chiếu phim bạn thường đến. Nó ở đâu? Điều gì đặc biệt ở nơi đó?	"- My favorite movie theater is Vincom near my house. It is located inside a big shopping mall, so it is very convenient for me to go there. I usually go by motorbike, and it only takes about ten minutes.
- What is special about this movie theater is that it is clean, modern, and comfortable. The seats are very soft, and there is a lot of space, so I can relax and enjoy the movie. The screen is large, and the sound system is very clear, which makes the movie more exciting.
- Another thing I like is the service. The staff are friendly and helpful. There are many kinds of snacks, like popcorn and drinks, and sometimes they have discounts.
- I often go there with my friends or my family on weekends. For me, this movie theater is a great place to relax and enjoy my free time."		https://luandai123.github.io/OpicTest/Movies_3.mp3	https://luandai123.github.io/OpicTest/K_Movies_3.mp3
Movies	영화	Phim ảnh	Recent movie experience	최근 영화 관람 경험	Trải nghiệm xem phim gần đây	4	Tell me about when you went to the movies recently. Who did you go with and how was that day? What did you do before the movie and what did you after	최근 마지막으로 영화를 봤던 경험에 대해 밀씀해 주시겠습니까? 누구와 갔습니까? 영화 관람 전후에 한 일을 포함해서 그날 있었던 모든 일을 이야기해 주십시오.	Bạn có thể kể về lần gần đây nhất bạn đi xem phim không? Bạn đã đi cùng ai? Hãy kể về mọi việc đã xảy ra trong ngày hôm đó, bao gồm cả những gì bạn làm trước và sau khi xem phim.	"- I remember watching a movie with my family recently. It was a reward for my daughter who had been studying hard.
- The movie we watched was a cartoon, called ""Puss in Boots"".
- Before watching the movie, we went to the cinema. We bought tickets for 4 people, bought bottled water, snacks and some popcorn.
- After watching the movie, we went to my friend's house for dinner. We ate, drank wine, and talked about funny stories.
- It was a memorable day for me."		https://luandai123.github.io/OpicTest/Movies_4.mp3	https://luandai123.github.io/OpicTest/K_Movies_4.mp3
Movies	영화	Phim ảnh	Recent movie experience	최근 영화 관람 경험	Trải nghiệm xem phim gần đây	5	Tell us what you usually do when you go to the movies. Please tell us who you are going with and what you do before and after the movie	영화를 보러 갈 때 보통 무엇을 하시는지 이야기해 주십시오. 누구와 함께 가는지 영화 보기 전과 후에는 무엇을 하는지 말씀해 주십시오.	Hãy kể về những gì bạn thường làm khi đi xem phim. Bạn đi cùng ai, và bạn làm gì trước và sau khi xem phim?	"- I remember watching a movie with my family recently. It was a reward for my daughter who had been studying hard.
- The movie we watched was a cartoon, called ""Puss in Boots"".
- Before watching the movie, we went to the cinema. We bought tickets for 4 people, bought bottled water, snacks and some popcorn.
- After watching the movie, we went to my friend's house for dinner. We ate, drank wine, and talked about funny stories.
- It was a memorable day for me."		https://luandai123.github.io/OpicTest/Movies_5.mp3	https://luandai123.github.io/OpicTest/K_Movies_5.mp3
Movies	영화	Phim ảnh	Memorable movie	기억에 남는 영화	Bộ phim đáng nhớ	6	Tell us about a memorable movie you've seen before. What is that movie about? What's so special about that movie	과거에 봤던 기억에 남는 영화에 대해 이야기해 주십시오. 그 영화의 내용은 무엇이었습니까? 그리고 특별한 점은 무엇이었습니까?	Hãy kể về một bộ phim đáng nhớ mà bạn đã xem trong quá khứ. Nội dung phim đó là gì? Và điều gì đặc biệt ở bộ phim đó?	"  - I remember watching, “Going Home, My Dear”, a Vietnamese TV series.
  - The movie told the story of a small family with a father and 3 daughters. Whether life was successful or difficult, home was a place to return, where loving family was always welcome.
  - One of the reasons why the movie has been so successful was because the content was easy to understand and the actors performed very well.
  - The movie won many awards at Vietnam VTV Awards.
  - Looking back, it was one of the most memorable movies of my life."		https://luandai123.github.io/OpicTest/Movies_6.mp3	https://luandai123.github.io/OpicTest/K_Movies_6.mp3
Movies	영화	Phim ảnh	Cinema (past → now)	영화관의 변화 (과거→현재)	Sự thay đổi của rạp chiếu phim (quá khứ → hiện tại)	7	Today's cinema is much different from the past. Talk about how cinema has changed compared to before	오늘날 영화관은 과거와 다른 점이 많습니다. 영화관이 과거에 비해 어떻게 달라졌는지 말씀해 보십시오.	Ngày nay, rạp chiếu phim có nhiều điểm khác so với trước đây. Hãy nói về việc rạp chiếu phim đã thay đổi như thế nào so với trước đây.	"- Cinema today is very different from cinema in the past. 
- In the past, movie theaters were simple. The screens were smaller, and the sound quality was not very good. Seats were not very comfortable, and there were not many choices for snacks. People usually watched movies only in theaters or on TV.
- Today, cinemas are much more modern. The screens are very large, and the picture quality is very clear. The sound system is much better, so the movies feel more exciting and realistic. Seats are more comfortable, and some theaters even have reclining chairs.
- Another big change is technology. Now we can book tickets online and choose our seats in advance. There are also 3D, 4D, and IMAX movies. In addition, many people watch movies on streaming platforms at home.
- Overall, cinema today is more convenient, comfortable, and enjoyable than in the past."		https://luandai123.github.io/OpicTest/Movies_7.mp3	https://luandai123.github.io/OpicTest/K_Movies_7.mp3
Movies	영화	Phim ảnh	Movie preferences (past → now)	영화 취향의 변화 (과거→현재)	Sở thích phim thay đổi theo thời gian	8	When did you first go to the movies? Do you remember that time? Was the first movie you saw similar to your current favorite movies	처음으로 영화관에 갔을 때는 언제였습니까? 그 때가 기억납니까? 처음으로 봤던 영화가 현재 좋아하는 영화 취향과 비슷합니까?	Lần đầu tiên bạn đến rạp chiếu phim là khi nào? Bạn có nhớ lúc đó không? Bộ phim đầu tiên bạn xem có giống với sở thích phim hiện tại của bạn không?	"- The first time I watched a movie was not at a cinema. It was at my neighbor’s house when I was very young. At that time, the whole village had only one black-and-white TV. Many people came to that house to watch together, so it was very crowded and lively. I remember sitting on the floor with many adults and children around me.
- The movie I liked the most at that time was Journey to the West. I was very interested in the characters and the story, even though the picture was not very clear. Everyone watched quietly and enjoyed the show together.
- As time passed, we started watching color TV at home, and my taste changed. I began to like action movies because they were exciting and fun. Nowadays, I usually watch movies on a big screen TV at home, and sometimes I go to the cinema with my friends to enjoy a better sound and picture."		https://luandai123.github.io/OpicTest/Movies_8.mp3	https://luandai123.github.io/OpicTest/K_Movies_8.mp3
Music	음악	Âm nhạc	Kinds of music to listen and favorite artists	좋아하는 음악 장르와 아티스트	Thể loại nhạc và nghệ sĩ yêu thích	1	You indicated in the survey that you listen to music. What kinds of music do you listen to? Who are some of your favorite musicians or composers	설문지에 음악을 들으신다고 표시하셨습니다. 어떤 종류의 음악을 들으십니까? 가장 좋아하시는 음악가나 작곡가는 누구입니까?	Trong bảng khảo sát, bạn đã cho biết bạn có nghe nhạc. Bạn nghe loại nhạc nào? Nhạc sĩ hoặc nhà soạn nhạc yêu thích của bạn là ai?	"- My favorite kinds of music are pop, light ballads, and rap. I usually listen to pop music and light ballads when I want to rest or feel calm because the melody is soft and easy to listen to. When I need energy or motivation, I like listening to rap music.
- My favorite singers are Mỹ Tâm and Đen Vâu. I like Mỹ Tâm because she has a strong and emotional voice, and her songs often have meaningful lyrics. Her music makes me feel comfortable and peaceful. I also like Đen Vâu because his rap songs talk about real life and simple stories. His lyrics are easy to understand and very honest.
- I usually listen to music at home or when I’m traveling. Music is an important part of my daily life."		https://luandai123.github.io/OpicTest/Music_1.mp3	https://luandai123.github.io/OpicTest/K_Music_1.mp3
